segment,requested_start_hour,requested_duration_mins,work_type,safety_criticality,trains_scheduled_in_window,asset_risk_flag,historical_overrun_rate,text_urgency_score,priority_score
C-D,14,225,Track,safety_critical,7,0,0.33,100.0,100.0
C-D,13,147,Electrical,routine,1,0,0.054,25.84,22.33
D-E,19,36,Signal,safety_critical,3,0,0.318,94.73,100.0
C-D,21,83,Other,safety_critical,5,0,0.249,100.0,100.0
B-C,10,158,Signal,routine,1,0,0.203,28.44,29.02
B-C,2,201,Electrical,routine,6,1,0.477,34.26,58.7
C-D,16,149,Electrical,safety_critical,2,1,0.261,91.08,100.0
C-D,11,202,Track,urgent,2,0,0.11,67.39,73.39
D-E,23,135,Other,safety_critical,1,1,0.229,74.66,100.0
B-C,20,76,Track,safety_critical,7,1,0.46,87.04,100.0
B-C,14,152,Electrical,safety_critical,5,0,0.088,89.81,100.0
A-B,15,170,Signal,safety_critical,0,0,0.107,89.67,100.0
D-E,4,148,Track,routine,0,0,0.007,36.37,25.06
A-B,19,179,Track,safety_critical,6,1,0.007,89.47,100.0
B-C,5,147,Signal,urgent,7,0,0.415,41.26,87.56
D-E,18,50,Track,routine,4,1,0.366,30.91,59.01
C-D,4,166,Signal,urgent,4,0,0.178,44.4,74.67
D-E,2,55,Other,urgent,3,1,0.349,46.61,91.95
C-D,0,38,Signal,urgent,5,0,0.198,49.98,88.22
C-D,5,44,Other,urgent,5,0,0.476,53.66,93.01
D-E,14,39,Signal,routine,2,1,0.484,9.56,48.82
C-D,1,151,Electrical,routine,8,1,0.196,36.17,60.41
A-B,2,150,Electrical,urgent,6,1,0.427,41.13,95.6
B-C,16,154,Other,urgent,0,1,0.387,73.84,89.3
C-D,23,199,Other,routine,6,1,0.155,13.75,43.75
A-B,11,101,Electrical,routine,4,1,0.116,37.82,51.11
C-D,17,181,Other,routine,4,0,0.229,24.72,31.63
B-C,14,237,Signal,safety_critical,1,1,0.391,67.84,100.0
A-B,11,78,Signal,safety_critical,3,0,0.48,74.57,100.0
B-C,15,183,Electrical,safety_critical,5,0,0.382,98.26,100.0
B-C,7,120,Track,urgent,6,1,0.428,60.38,100.0
A-B,13,66,Signal,safety_critical,4,0,0.302,84.21,100.0
A-B,16,97,Other,urgent,8,1,0.418,28.4,100.0
A-B,20,79,Track,urgent,2,1,0.392,71.67,94.55
D-E,7,181,Track,safety_critical,0,0,0.188,100.0,100.0
A-B,14,48,Signal,urgent,3,0,0.276,75.26,87.5
A-B,13,129,Signal,safety_critical,8,1,0.402,78.85,100.0
A-B,17,89,Track,safety_critical,3,1,0.023,88.83,100.0
A-B,19,196,Track,routine,1,0,0.404,29.92,29.28
C-D,6,231,Electrical,safety_critical,4,0,0.089,69.73,100.0
D-E,2,118,Other,routine,2,0,0.257,26.8,30.76
B-C,11,175,Electrical,safety_critical,8,0,0.404,95.71,100.0
A-B,20,176,Signal,safety_critical,3,1,0.127,92.64,100.0
C-D,23,193,Electrical,routine,5,1,0.123,13.89,42.8
C-D,2,231,Electrical,routine,1,1,0.201,16.37,33.56
C-D,19,212,Electrical,safety_critical,5,1,0.447,92.91,100.0
B-C,13,98,Electrical,urgent,2,0,0.0,62.59,73.38
A-B,14,204,Other,routine,8,0,0.451,2.46,40.16
D-E,13,78,Other,urgent,1,1,0.077,25.52,71.69
D-E,6,137,Track,urgent,8,1,0.495,54.08,100.0
C-D,16,190,Signal,urgent,4,1,0.477,47.92,88.91
B-C,11,148,Electrical,routine,7,1,0.247,22.02,55.85
B-C,19,178,Track,urgent,1,1,0.256,50.06,81.31
B-C,3,238,Track,routine,5,1,0.241,34.84,48.94
D-E,8,179,Track,urgent,2,1,0.318,56.24,86.08
C-D,5,205,Other,safety_critical,4,1,0.045,87.68,100.0
A-B,15,66,Electrical,safety_critical,7,1,0.016,71.58,100.0
D-E,21,172,Electrical,routine,0,0,0.029,0.0,15.2
C-D,21,192,Signal,safety_critical,4,1,0.222,96.24,100.0
C-D,20,228,Electrical,safety_critical,2,0,0.138,100.0,100.0
A-B,20,189,Electrical,urgent,3,0,0.311,50.89,72.4
A-B,1,40,Track,routine,1,1,0.496,27.49,45.02
A-B,23,167,Signal,urgent,8,1,0.193,58.89,100.0
B-C,7,230,Electrical,urgent,2,0,0.287,75.1,78.86
A-B,10,107,Other,urgent,1,0,0.208,65.67,79.77
C-D,12,106,Electrical,urgent,8,1,0.424,60.95,100.0
A-B,16,214,Track,urgent,6,0,0.451,55.67,90.66
C-D,7,182,Other,urgent,5,1,0.439,55.72,97.85
D-E,20,31,Track,urgent,0,1,0.487,37.73,84.83
B-C,17,93,Electrical,routine,4,1,0.014,21.17,40.92
D-E,17,64,Other,safety_critical,2,0,0.42,93.86,100.0
D-E,13,36,Signal,urgent,0,0,0.376,52.2,78.96
C-D,14,114,Signal,urgent,3,1,0.114,55.53,89.04
D-E,5,175,Other,urgent,1,0,0.478,40.89,68.5
C-D,10,96,Other,urgent,1,0,0.074,60.35,74.01
A-B,12,71,Track,urgent,2,0,0.34,37.46,76.54
A-B,0,147,Other,urgent,7,0,0.112,58.48,89.13
C-D,5,154,Track,safety_critical,7,0,0.216,83.13,100.0
A-B,8,196,Electrical,safety_critical,6,0,0.36,67.57,100.0
B-C,7,198,Track,urgent,5,0,0.282,67.83,87.48
D-E,10,232,Other,safety_critical,8,1,0.214,83.36,100.0
B-C,21,53,Other,routine,3,0,0.163,43.61,43.6
D-E,18,217,Electrical,urgent,0,0,0.42,72.74,73.99
A-B,23,75,Other,routine,7,0,0.072,16.21,40.58
B-C,8,48,Other,routine,6,0,0.215,17.08,43.9
A-B,16,97,Signal,urgent,6,0,0.452,40.94,86.34
D-E,11,131,Signal,safety_critical,2,0,0.423,69.14,100.0
C-D,13,71,Electrical,routine,3,0,0.2,20.78,36.4
C-D,14,61,Track,urgent,8,0,0.382,72.32,100.0
B-C,15,196,Signal,routine,5,1,0.412,5.85,48.04
A-B,21,138,Track,routine,4,0,0.444,33.52,44.17
A-B,21,65,Other,routine,2,0,0.272,32.68,35.13
B-C,19,126,Signal,routine,8,0,0.102,30.55,48.03
C-D,0,193,Electrical,safety_critical,4,0,0.128,92.33,100.0
D-E,9,160,Electrical,routine,4,1,0.148,13.96,39.81
B-C,7,102,Electrical,routine,3,1,0.297,32.62,50.18
D-E,17,165,Signal,routine,3,1,0.016,19.51,38.41
C-D,0,126,Track,safety_critical,0,1,0.318,60.41,100.0
A-B,1,152,Other,routine,6,1,0.182,25.57,56.61
C-D,0,99,Track,routine,8,1,0.148,16.56,54.63
B-C,0,198,Track,safety_critical,2,1,0.44,98.59,100.0
A-B,8,225,Other,safety_critical,1,1,0.23,82.14,100.0
B-C,12,42,Other,safety_critical,2,1,0.048,85.46,100.0
B-C,0,78,Signal,routine,0,1,0.413,28.89,45.23
C-D,12,89,Signal,safety_critical,5,1,0.024,82.33,100.0
B-C,19,159,Signal,safety_critical,6,1,0.363,83.96,100.0
C-D,21,217,Signal,routine,1,1,0.387,33.44,39.99
A-B,6,34,Signal,safety_critical,7,1,0.176,74.34,100.0
C-D,1,201,Other,routine,5,1,0.412,17.98,45.08
A-B,5,56,Track,urgent,3,1,0.258,43.39,86.32
C-D,6,189,Signal,safety_critical,4,0,0.232,99.37,100.0
D-E,13,178,Signal,urgent,7,1,0.023,46.58,91.2
D-E,17,37,Track,routine,2,0,0.145,23.57,36.81
B-C,14,229,Signal,safety_critical,2,1,0.466,78.99,100.0
C-D,1,79,Track,routine,3,1,0.196,21.92,43.87
C-D,9,96,Track,urgent,0,0,0.273,46.15,70.32
A-B,22,73,Other,routine,8,1,0.266,29.63,67.86
B-C,11,154,Electrical,safety_critical,7,0,0.295,74.59,100.0
C-D,16,87,Other,safety_critical,7,0,0.031,71.48,100.0
B-C,7,32,Electrical,urgent,5,0,0.181,48.3,88.43
D-E,10,115,Electrical,routine,6,1,0.362,17.02,57.38
